DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2001,45.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2002,44.5,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2003,42.9,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2004,43,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2005,42.5,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2006,43.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2007,43,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2008,43.1,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2009,43.4,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2010,43.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2011,43.9,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2012,44,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2013,44.1,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2014,44.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2015,45.8,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2016,44.9,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2017,43.5,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2018,42.3,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2019,40.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2020,43.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EA20,2021,45.1,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2000,49.8,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2001,48,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2002,46.8,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2003,45.2,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2004,44.9,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2005,44.3,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2006,45.2,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2007,44.3,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2008,43.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2009,43.2,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2010,43.2,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2011,43,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2012,42.9,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2013,43,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2014,43.1,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2015,44.1,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2016,43.2,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2017,41.8,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2018,40.5,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2019,38.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2007,2020,40.9,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2000,51.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2001,49.9,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2002,48.5,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2003,46.8,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2004,46.5,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2005,45.9,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2006,46.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2007,45.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2008,44.8,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2009,44.5,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2010,44.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2011,44.3,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2012,44.3,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2013,44.4,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2014,44.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2015,45.5,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2016,44.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2017,43.1,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2018,41.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2019,39.8,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2020,42.1,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU27_2020,2021,43.3,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2000,50.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2001,48.8,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2002,47.5,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2003,45.8,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2004,45.5,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2005,44.9,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2006,45.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2007,44.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2008,43.9,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2009,43.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2010,43.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2011,43.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2012,43.5,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2013,43.5,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2014,43.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2015,44.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2016,43.7,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2017,42.2,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2018,41.1,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,CV_VI_HAB,GDP,PC,EU28,2019,39.6,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2000,3200,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2001,3600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2002,3800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2003,4100,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2004,4400,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2005,4800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2006,5200,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2007,5800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2008,6400,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2009,6700,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2010,7300,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2011,7600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2012,7800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2013,7600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2014,8100,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2015,8400,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2016,8400,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2017,8800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2018,9200,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2019,9500,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2020,9200,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AL,2021,10500,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2000,24400,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2001,24600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2002,25600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2003,26400,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2004,27600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2005,28700,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2006,29900,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2007,31100,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2008,32100,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2009,30900,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2010,31800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2011,33100,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2012,34300,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2013,34600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2014,35000,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2015,35900,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2016,36600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2017,37200,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2018,38600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2019,39400,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2020,37500,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2021,39800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,AT,2022,44100,p
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2005,5600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2006,6300,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2007,6900,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2008,7400,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2009,7200,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2010,7400,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2011,7700,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2012,7800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2013,8000,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2014,8100,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2015,8400,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2016,8800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2017,9000,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2018,9600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2019,10100,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2020,9800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BA,2021,10600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2000,23100,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2001,23800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2002,24800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2003,25400,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2004,26200,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2005,27200,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2006,28000,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2007,29000,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2008,29400,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2009,28500,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2010,30100,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2011,30500,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2012,31200,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2013,31500,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2014,32200,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2015,33200,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2016,33800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2017,34600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2018,35600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2019,36800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2020,35700,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2021,39000,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BE,2022,42500,p
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2000,5300,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2001,5800,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2002,6400,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2003,6900,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2004,7500,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2005,8300,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2006,9000,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2007,10000,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2008,10900,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2009,10500,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2010,11100,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2011,11700,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2012,12100,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2013,12000,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2014,12600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2015,13200,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2016,13900,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2017,14700,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2018,15600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2019,16600,
ESTAT:SDG_10_10(1.0),27/04/23 23:00:00,A,EXP_PPS_EU27_2020_HAB,GDP,PC,BG,2020,16600,
