Main Activity Sector Name,Country,Year,ETS information,Emissions Unit,ETS Information
10 Aviation,Belgium,2017,1.1 Freely allocated allowances,t CO2-eq, 574 567.000
10 Aviation,Belgium,2016,1.1 Freely allocated allowances,t CO2-eq, 573 882.000
10 Aviation,Belgium,2015,1.1 Freely allocated allowances,t CO2-eq, 584 644.000
10 Aviation,Belgium,2014,1.1 Freely allocated allowances,t CO2-eq, 584 799.000
10 Aviation,Belgium,2013,1.1 Freely allocated allowances,t CO2-eq, 588 185.000
10 Aviation,Belgium,2012,1.1 Freely allocated allowances,t CO2-eq,3 078 258.000
10 Aviation,Belgium,2021,2. Verified emissions,t CO2-eq, 745 064.000
10 Aviation,Belgium,2020,2. Verified emissions,t CO2-eq, 565 483.000
10 Aviation,Belgium,2019,2. Verified emissions,t CO2-eq,1 383 003.000
10 Aviation,Belgium,2018,2. Verified emissions,t CO2-eq,1 528 280.000
10 Aviation,Belgium,2017,2. Verified emissions,t CO2-eq,1 538 462.000
10 Aviation,Belgium,2016,2. Verified emissions,t CO2-eq,1 463 135.000
10 Aviation,Belgium,2015,2. Verified emissions,t CO2-eq,1 356 658.000
10 Aviation,Belgium,2014,2. Verified emissions,t CO2-eq,1 287 024.000
10 Aviation,Belgium,2013,2. Verified emissions,t CO2-eq,1 237 104.000
10 Aviation,Belgium,2012,2. Verified emissions,t CO2-eq,2 204 739.000
10 Aviation,Bulgaria,2021,1.1 Freely allocated allowances,t CO2-eq, 102 054.000
10 Aviation,Bulgaria,2020,1.1 Freely allocated allowances,t CO2-eq, 200 580.000
10 Aviation,Bulgaria,2019,1.1 Freely allocated allowances,t CO2-eq, 198 516.000
10 Aviation,Bulgaria,2018,1.1 Freely allocated allowances,t CO2-eq, 198 516.000
10 Aviation,Bulgaria,2017,1.1 Freely allocated allowances,t CO2-eq, 198 516.000
10 Aviation,Bulgaria,2016,1.1 Freely allocated allowances,t CO2-eq, 198 516.000
10 Aviation,Bulgaria,2015,1.1 Freely allocated allowances,t CO2-eq, 198 516.000
10 Aviation,Bulgaria,2014,1.1 Freely allocated allowances,t CO2-eq, 198 516.000
10 Aviation,Bulgaria,2013,1.1 Freely allocated allowances,t CO2-eq, 198 516.000
10 Aviation,Bulgaria,2012,1.1 Freely allocated allowances,t CO2-eq, 269 245.000
10 Aviation,Bulgaria,2021,2. Verified emissions,t CO2-eq, 122 332.000
10 Aviation,Bulgaria,2020,2. Verified emissions,t CO2-eq, 117 444.000
10 Aviation,Bulgaria,2019,2. Verified emissions,t CO2-eq, 277 839.000
10 Aviation,Bulgaria,2018,2. Verified emissions,t CO2-eq, 257 183.000
10 Aviation,Bulgaria,2017,2. Verified emissions,t CO2-eq, 251 290.000
10 Aviation,Bulgaria,2016,2. Verified emissions,t CO2-eq, 288 886.000
10 Aviation,Bulgaria,2015,2. Verified emissions,t CO2-eq, 261 531.000
10 Aviation,Bulgaria,2014,2. Verified emissions,t CO2-eq, 266 926.000
10 Aviation,Bulgaria,2013,2. Verified emissions,t CO2-eq, 252 485.000
10 Aviation,Bulgaria,2012,2. Verified emissions,t CO2-eq, 317 913.000
10 Aviation,Croatia,2021,1.1 Freely allocated allowances,t CO2-eq, 74 645.000
10 Aviation,Croatia,2020,1.1 Freely allocated allowances,t CO2-eq, 91 506.000
10 Aviation,Croatia,2019,1.1 Freely allocated allowances,t CO2-eq, 85 828.000
10 Aviation,Croatia,2018,1.1 Freely allocated allowances,t CO2-eq, 85 828.000
10 Aviation,Croatia,2017,1.1 Freely allocated allowances,t CO2-eq, 85 828.000
10 Aviation,Croatia,2016,1.1 Freely allocated allowances,t CO2-eq, 85 828.000
10 Aviation,Croatia,2015,1.1 Freely allocated allowances,t CO2-eq, 85 828.000
10 Aviation,Croatia,2014,1.1 Freely allocated allowances,t CO2-eq, 85 828.000
10 Aviation,Croatia,2013,1.1 Freely allocated allowances,t CO2-eq, 62 717.000
10 Aviation,Croatia,2012,1.1 Freely allocated allowances,t CO2-eq, 66 442.000
10 Aviation,Croatia,2021,2. Verified emissions,t CO2-eq, 108 788.000
10 Aviation,Croatia,2020,2. Verified emissions,t CO2-eq, 74 828.000
10 Aviation,Croatia,2019,2. Verified emissions,t CO2-eq, 178 606.000
10 Aviation,Croatia,2018,2. Verified emissions,t CO2-eq, 174 695.000
10 Aviation,Croatia,2017,2. Verified emissions,t CO2-eq, 171 297.000
10 Aviation,Croatia,2016,2. Verified emissions,t CO2-eq, 162 454.000
10 Aviation,Croatia,2015,2. Verified emissions,t CO2-eq, 154 276.000
10 Aviation,Croatia,2014,2. Verified emissions,t CO2-eq, 150 608.000
10 Aviation,Croatia,2013,2. Verified emissions,t CO2-eq, 124 782.000
10 Aviation,Croatia,2012,2. Verified emissions,t CO2-eq, 130 931.000
10 Aviation,Cyprus,2020,1.1 Freely allocated allowances,t CO2-eq,  0.000
10 Aviation,Cyprus,2019,1.1 Freely allocated allowances,t CO2-eq,  0.000
10 Aviation,Cyprus,2018,1.1 Freely allocated allowances,t CO2-eq,  0.000
10 Aviation,Cyprus,2017,1.1 Freely allocated allowances,t CO2-eq,  0.000
10 Aviation,Cyprus,2016,1.1 Freely allocated allowances,t CO2-eq,  28.000
10 Aviation,Cyprus,2015,1.1 Freely allocated allowances,t CO2-eq,  28.000
10 Aviation,Cyprus,2014,1.1 Freely allocated allowances,t CO2-eq, 250 519.000
10 Aviation,Cyprus,2013,1.1 Freely allocated allowances,t CO2-eq, 250 551.000
10 Aviation,Cyprus,2012,1.1 Freely allocated allowances,t CO2-eq, 461 758.000
10 Aviation,Cyprus,2021,2. Verified emissions,t CO2-eq, 7 463.000
10 Aviation,Cyprus,2020,2. Verified emissions,t CO2-eq, 12 274.000
10 Aviation,Cyprus,2019,2. Verified emissions,t CO2-eq, 28 831.000
10 Aviation,Cyprus,2018,2. Verified emissions,t CO2-eq, 24 490.000
10 Aviation,Cyprus,2017,2. Verified emissions,t CO2-eq, 102 553.000
10 Aviation,Cyprus,2016,2. Verified emissions,t CO2-eq, 36 633.000
10 Aviation,Cyprus,2015,2. Verified emissions,t CO2-eq, 2 761.000
10 Aviation,Cyprus,2014,2. Verified emissions,t CO2-eq, 107 288.000
10 Aviation,Cyprus,2013,2. Verified emissions,t CO2-eq, 164 361.000
10 Aviation,Cyprus,2012,2. Verified emissions,t CO2-eq, 209 162.000
10 Aviation,Czechia,2021,1.1 Freely allocated allowances,t CO2-eq, 360 894.000
10 Aviation,Czechia,2020,1.1 Freely allocated allowances,t CO2-eq, 376 591.000
10 Aviation,Czechia,2019,1.1 Freely allocated allowances,t CO2-eq, 374 779.000
10 Aviation,Czechia,2018,1.1 Freely allocated allowances,t CO2-eq, 374 779.000
10 Aviation,Czechia,2017,1.1 Freely allocated allowances,t CO2-eq, 374 779.000
10 Aviation,Czechia,2016,1.1 Freely allocated allowances,t CO2-eq, 374 780.000
10 Aviation,Czechia,2015,1.1 Freely allocated allowances,t CO2-eq, 374 780.000
10 Aviation,Czechia,2014,1.1 Freely allocated allowances,t CO2-eq, 374 780.000
10 Aviation,Czechia,2013,1.1 Freely allocated allowances,t CO2-eq, 374 780.000
10 Aviation,Czechia,2012,1.1 Freely allocated allowances,t CO2-eq, 798 821.000
10 Aviation,Czechia,2021,2. Verified emissions,t CO2-eq, 164 326.000
10 Aviation,Czechia,2020,2. Verified emissions,t CO2-eq, 99 344.000
10 Aviation,Czechia,2019,2. Verified emissions,t CO2-eq, 484 353.000
10 Aviation,Czechia,2018,2. Verified emissions,t CO2-eq, 512 962.000
10 Aviation,Czechia,2017,2. Verified emissions,t CO2-eq, 495 045.000
10 Aviation,Czechia,2016,2. Verified emissions,t CO2-eq, 478 557.000
10 Aviation,Czechia,2015,2. Verified emissions,t CO2-eq, 430 429.000
10 Aviation,Czechia,2014,2. Verified emissions,t CO2-eq, 393 318.000
10 Aviation,Czechia,2013,2. Verified emissions,t CO2-eq, 416 240.000
10 Aviation,Czechia,2012,2. Verified emissions,t CO2-eq, 907 820.000
10 Aviation,Denmark,2021,1.1 Freely allocated allowances,t CO2-eq, 306 764.000
10 Aviation,Denmark,2020,1.1 Freely allocated allowances,t CO2-eq, 327 927.000
10 Aviation,Denmark,2019,1.1 Freely allocated allowances,t CO2-eq, 333 797.000
10 Aviation,Denmark,2018,1.1 Freely allocated allowances,t CO2-eq, 333 797.000
10 Aviation,Denmark,2017,1.1 Freely allocated allowances,t CO2-eq, 377 946.000
10 Aviation,Denmark,2016,1.1 Freely allocated allowances,t CO2-eq, 369 186.000
10 Aviation,Denmark,2015,1.1 Freely allocated allowances,t CO2-eq, 369 186.000
10 Aviation,Denmark,2014,1.1 Freely allocated allowances,t CO2-eq, 369 177.000
10 Aviation,Denmark,2013,1.1 Freely allocated allowances,t CO2-eq, 369 187.000
10 Aviation,Denmark,2012,1.1 Freely allocated allowances,t CO2-eq,1 074 189.000
10 Aviation,Denmark,2021,2. Verified emissions,t CO2-eq, 261 064.000
10 Aviation,Denmark,2020,2. Verified emissions,t CO2-eq, 207 465.000
10 Aviation,Denmark,2019,2. Verified emissions,t CO2-eq, 560 180.000
10 Aviation,Denmark,2018,2. Verified emissions,t CO2-eq, 547 262.000
10 Aviation,Denmark,2017,2. Verified emissions,t CO2-eq, 604 757.000
10 Aviation,Denmark,2016,2. Verified emissions,t CO2-eq, 558 122.000
10 Aviation,Denmark,2015,2. Verified emissions,t CO2-eq, 532 135.000
10 Aviation,Denmark,2014,2. Verified emissions,t CO2-eq, 572 174.000
10 Aviation,Denmark,2013,2. Verified emissions,t CO2-eq, 560 393.000
10 Aviation,Denmark,2012,2. Verified emissions,t CO2-eq,1 277 015.000
10 Aviation,Denmark,2011,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,Denmark,2010,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,Estonia,2021,1.1 Freely allocated allowances,t CO2-eq, 9 781.000
10 Aviation,Estonia,2020,1.1 Freely allocated allowances,t CO2-eq,  0.000
10 Aviation,Estonia,2019,1.1 Freely allocated allowances,t CO2-eq, 19 778.000
10 Aviation,Estonia,2018,1.1 Freely allocated allowances,t CO2-eq, 19 778.000
10 Aviation,Estonia,2017,1.1 Freely allocated allowances,t CO2-eq, 19 778.000
10 Aviation,Estonia,2016,1.1 Freely allocated allowances,t CO2-eq,  0.000
10 Aviation,Estonia,2015,1.1 Freely allocated allowances,t CO2-eq, 32 448.000
10 Aviation,Estonia,2014,1.1 Freely allocated allowances,t CO2-eq, 33 304.000
10 Aviation,Estonia,2013,1.1 Freely allocated allowances,t CO2-eq, 33 304.000
10 Aviation,Estonia,2012,1.1 Freely allocated allowances,t CO2-eq, 58 429.000
10 Aviation,Estonia,2021,2. Verified emissions,t CO2-eq, 9 525.000
10 Aviation,Estonia,2020,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,Estonia,2019,2. Verified emissions,t CO2-eq, 28 397.000
10 Aviation,Estonia,2018,2. Verified emissions,t CO2-eq, 36 181.000
10 Aviation,Estonia,2017,2. Verified emissions,t CO2-eq, 32 360.000
10 Aviation,Estonia,2016,2. Verified emissions,t CO2-eq, 15 149.000
10 Aviation,Estonia,2015,2. Verified emissions,t CO2-eq, 72 986.000
10 Aviation,Estonia,2014,2. Verified emissions,t CO2-eq, 76 098.000
10 Aviation,Estonia,2013,2. Verified emissions,t CO2-eq, 74 763.000
10 Aviation,Estonia,2012,2. Verified emissions,t CO2-eq, 92 713.000
10 Aviation,EU27,2021,1.1 Freely allocated allowances,t CO2-eq,22 910 183.000
10 Aviation,EU27,2020,1.1 Freely allocated allowances,t CO2-eq,28 812 429.000
10 Aviation,EU27,2019,1.1 Freely allocated allowances,t CO2-eq,28 362 646.000
10 Aviation,EU27,2018,1.1 Freely allocated allowances,t CO2-eq,25 720 271.000
10 Aviation,EU27,2017,1.1 Freely allocated allowances,t CO2-eq,27 301 866.000
10 Aviation,EU27,2016,1.1 Freely allocated allowances,t CO2-eq,26 396 894.000
10 Aviation,EU27,2015,1.1 Freely allocated allowances,t CO2-eq,26 518 384.000
10 Aviation,EU27,2014,1.1 Freely allocated allowances,t CO2-eq,26 874 011.000
10 Aviation,EU27,2013,1.1 Freely allocated allowances,t CO2-eq,26 937 354.000
10 Aviation,EU27,2012,1.1 Freely allocated allowances,t CO2-eq,158 845 773.000
10 Aviation,EU27,2021,2. Verified emissions,t CO2-eq,26 934 287.000
10 Aviation,EU27,2020,2. Verified emissions,t CO2-eq,24 258 325.000
10 Aviation,EU27,2019,2. Verified emissions,t CO2-eq,64 869 289.000
10 Aviation,EU27,2018,2. Verified emissions,t CO2-eq,60 982 454.000
10 Aviation,EU27,2017,2. Verified emissions,t CO2-eq,54 792 011.000
10 Aviation,EU27,2016,2. Verified emissions,t CO2-eq,52 222 276.000
10 Aviation,EU27,2015,2. Verified emissions,t CO2-eq,47 937 252.000
10 Aviation,EU27,2014,2. Verified emissions,t CO2-eq,45 810 932.000
10 Aviation,EU27,2013,2. Verified emissions,t CO2-eq,44 931 408.000
10 Aviation,EU27,2012,2. Verified emissions,t CO2-eq,71 966 219.000
10 Aviation,EU27,2011,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,EU27,2010,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,EU27 + UK,2021,1.1 Freely allocated allowances,t CO2-eq,22 910 183.000
10 Aviation,EU27 + UK,2020,1.1 Freely allocated allowances,t CO2-eq,29 382 179.000
10 Aviation,EU27 + UK,2019,1.1 Freely allocated allowances,t CO2-eq,29 039 066.000
10 Aviation,EU27 + UK,2018,1.1 Freely allocated allowances,t CO2-eq,29 339 305.000
10 Aviation,EU27 + UK,2017,1.1 Freely allocated allowances,t CO2-eq,31 403 810.000
10 Aviation,EU27 + UK,2016,1.1 Freely allocated allowances,t CO2-eq,30 498 871.000
10 Aviation,EU27 + UK,2015,1.1 Freely allocated allowances,t CO2-eq,30 625 167.000
10 Aviation,EU27 + UK,2014,1.1 Freely allocated allowances,t CO2-eq,30 981 090.000
10 Aviation,EU27 + UK,2013,1.1 Freely allocated allowances,t CO2-eq,31 045 078.000
10 Aviation,EU27 + UK,2012,1.1 Freely allocated allowances,t CO2-eq,172 313 213.000
10 Aviation,EU27 + UK,2021,2. Verified emissions,t CO2-eq,26 934 287.000
10 Aviation,EU27 + UK,2020,2. Verified emissions,t CO2-eq,24 481 061.000
10 Aviation,EU27 + UK,2019,2. Verified emissions,t CO2-eq,66 006 062.000
10 Aviation,EU27 + UK,2018,2. Verified emissions,t CO2-eq,65 153 008.000
10 Aviation,EU27 + UK,2017,2. Verified emissions,t CO2-eq,62 143 223.000
10 Aviation,EU27 + UK,2016,2. Verified emissions,t CO2-eq,59 160 541.000
10 Aviation,EU27 + UK,2015,2. Verified emissions,t CO2-eq,54 313 368.000
10 Aviation,EU27 + UK,2014,2. Verified emissions,t CO2-eq,52 020 623.000
10 Aviation,EU27 + UK,2013,2. Verified emissions,t CO2-eq,51 019 141.000
10 Aviation,EU27 + UK,2012,2. Verified emissions,t CO2-eq,81 644 018.000
10 Aviation,EU27 + UK,2011,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,EU27 + UK,2010,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,Finland,2021,1.1 Freely allocated allowances,t CO2-eq, 485 809.000
10 Aviation,Finland,2020,1.1 Freely allocated allowances,t CO2-eq, 523 522.000
10 Aviation,Finland,2019,1.1 Freely allocated allowances,t CO2-eq, 493 048.000
10 Aviation,Finland,2018,1.1 Freely allocated allowances,t CO2-eq, 493 048.000
10 Aviation,Finland,2017,1.1 Freely allocated allowances,t CO2-eq, 493 048.000
10 Aviation,Finland,2016,1.1 Freely allocated allowances,t CO2-eq, 465 579.000
10 Aviation,Finland,2015,1.1 Freely allocated allowances,t CO2-eq, 493 048.000
10 Aviation,Finland,2014,1.1 Freely allocated allowances,t CO2-eq, 493 048.000
10 Aviation,Finland,2013,1.1 Freely allocated allowances,t CO2-eq, 493 048.000
10 Aviation,Finland,2012,1.1 Freely allocated allowances,t CO2-eq,2 109 689.000
10 Aviation,Finland,2021,2. Verified emissions,t CO2-eq, 340 437.000
10 Aviation,Finland,2020,2. Verified emissions,t CO2-eq, 400 826.000
10 Aviation,Finland,2019,2. Verified emissions,t CO2-eq,1 252 207.000
10 Aviation,Finland,2018,2. Verified emissions,t CO2-eq,1 170 188.000
10 Aviation,Finland,2017,2. Verified emissions,t CO2-eq,1 051 966.000
10 Aviation,Finland,2016,2. Verified emissions,t CO2-eq, 988 867.000
10 Aviation,Finland,2015,2. Verified emissions,t CO2-eq, 952 946.000
10 Aviation,Finland,2014,2. Verified emissions,t CO2-eq, 914 529.000
10 Aviation,Finland,2013,2. Verified emissions,t CO2-eq, 893 377.000
10 Aviation,Finland,2012,2. Verified emissions,t CO2-eq,1 186 065.000
10 Aviation,France,2021,1.1 Freely allocated allowances,t CO2-eq,1 810 033.000
10 Aviation,France,2020,1.1 Freely allocated allowances,t CO2-eq,1 983 451.000
10 Aviation,France,2019,1.1 Freely allocated allowances,t CO2-eq,1 994 070.000
10 Aviation,France,2018,1.1 Freely allocated allowances,t CO2-eq,2 043 916.000
10 Aviation,France,2017,1.1 Freely allocated allowances,t CO2-eq,2 043 899.000
10 Aviation,France,2016,1.1 Freely allocated allowances,t CO2-eq,2 043 465.000
10 Aviation,France,2015,1.1 Freely allocated allowances,t CO2-eq,2 090 506.000
10 Aviation,France,2014,1.1 Freely allocated allowances,t CO2-eq,2 090 689.000
10 Aviation,France,2013,1.1 Freely allocated allowances,t CO2-eq,2 100 016.000
10 Aviation,France,2012,1.1 Freely allocated allowances,t CO2-eq,24 716 294.000
10 Aviation,France,2021,2. Verified emissions,t CO2-eq,2 261 908.000
10 Aviation,France,2020,2. Verified emissions,t CO2-eq,1 850 204.000
10 Aviation,France,2019,2. Verified emissions,t CO2-eq,4 203 491.000
10 Aviation,France,2018,2. Verified emissions,t CO2-eq,4 218 609.000
10 Aviation,France,2017,2. Verified emissions,t CO2-eq,4 153 692.000
10 Aviation,France,2016,2. Verified emissions,t CO2-eq,4 044 016.000
10 Aviation,France,2015,2. Verified emissions,t CO2-eq,4 034 011.000
10 Aviation,France,2014,2. Verified emissions,t CO2-eq,3 932 002.000
10 Aviation,France,2013,2. Verified emissions,t CO2-eq,4 131 454.000
10 Aviation,France,2012,2. Verified emissions,t CO2-eq,9 804 577.000
10 Aviation,Germany,2021,1.1 Freely allocated allowances,t CO2-eq,3 369 807.000
10 Aviation,Germany,2020,1.1 Freely allocated allowances,t CO2-eq,3 691 755.000
10 Aviation,Germany,2019,1.1 Freely allocated allowances,t CO2-eq,3 646 770.000
10 Aviation,Germany,2018,1.1 Freely allocated allowances,t CO2-eq,3 657 706.000
10 Aviation,Germany,2017,1.1 Freely allocated allowances,t CO2-eq,5 177 804.000
10 Aviation,Germany,2016,1.1 Freely allocated allowances,t CO2-eq,5 146 145.000
10 Aviation,Germany,2015,1.1 Freely allocated allowances,t CO2-eq,5 141 883.000
10 Aviation,Germany,2014,1.1 Freely allocated allowances,t CO2-eq,5 190 451.000
10 Aviation,Germany,2013,1.1 Freely allocated allowances,t CO2-eq,5 201 206.000
10 Aviation,Germany,2012,1.1 Freely allocated allowances,t CO2-eq,61 818 567.000
10 Aviation,Germany,2021,2. Verified emissions,t CO2-eq,4 688 380.000
10 Aviation,Germany,2020,2. Verified emissions,t CO2-eq,3 959 283.000
10 Aviation,Germany,2019,2. Verified emissions,t CO2-eq,9 137 428.000
10 Aviation,Germany,2018,2. Verified emissions,t CO2-eq,9 524 962.000
10 Aviation,Germany,2017,2. Verified emissions,t CO2-eq,9 259 668.000
10 Aviation,Germany,2016,2. Verified emissions,t CO2-eq,9 436 740.000
10 Aviation,Germany,2015,2. Verified emissions,t CO2-eq,9 084 128.000
10 Aviation,Germany,2014,2. Verified emissions,t CO2-eq,9 009 479.000
10 Aviation,Germany,2013,2. Verified emissions,t CO2-eq,8 828 227.000
10 Aviation,Germany,2012,2. Verified emissions,t CO2-eq,15 929 199.000
10 Aviation,Greece,2021,1.1 Freely allocated allowances,t CO2-eq, 572 675.000
10 Aviation,Greece,2020,1.1 Freely allocated allowances,t CO2-eq, 629 859.000
10 Aviation,Greece,2019,1.1 Freely allocated allowances,t CO2-eq, 613 642.000
10 Aviation,Greece,2018,1.1 Freely allocated allowances,t CO2-eq, 614 280.000
10 Aviation,Greece,2017,1.1 Freely allocated allowances,t CO2-eq, 610 686.000
10 Aviation,Greece,2016,1.1 Freely allocated allowances,t CO2-eq, 607 342.000
10 Aviation,Greece,2015,1.1 Freely allocated allowances,t CO2-eq, 607 342.000
10 Aviation,Greece,2014,1.1 Freely allocated allowances,t CO2-eq, 607 342.000
10 Aviation,Greece,2013,1.1 Freely allocated allowances,t CO2-eq, 607 343.000
10 Aviation,Greece,2012,1.1 Freely allocated allowances,t CO2-eq, 717 685.000
10 Aviation,Greece,2021,2. Verified emissions,t CO2-eq, 737 897.000
10 Aviation,Greece,2020,2. Verified emissions,t CO2-eq, 496 705.000
10 Aviation,Greece,2019,2. Verified emissions,t CO2-eq,1 220 992.000
10 Aviation,Greece,2018,2. Verified emissions,t CO2-eq,1 156 450.000
10 Aviation,Greece,2017,2. Verified emissions,t CO2-eq,1 083 288.000
10 Aviation,Greece,2016,2. Verified emissions,t CO2-eq,1 035 881.000
10 Aviation,Greece,2015,2. Verified emissions,t CO2-eq, 952 885.000
10 Aviation,Greece,2014,2. Verified emissions,t CO2-eq, 824 112.000
10 Aviation,Greece,2013,2. Verified emissions,t CO2-eq, 735 486.000
10 Aviation,Greece,2012,2. Verified emissions,t CO2-eq, 792 521.000
10 Aviation,Greece,2011,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,Hungary,2021,1.1 Freely allocated allowances,t CO2-eq, 608 784.000
10 Aviation,Hungary,2020,1.1 Freely allocated allowances,t CO2-eq, 738 473.000
10 Aviation,Hungary,2019,1.1 Freely allocated allowances,t CO2-eq, 740 143.000
10 Aviation,Hungary,2018,1.1 Freely allocated allowances,t CO2-eq, 740 143.000
10 Aviation,Hungary,2017,1.1 Freely allocated allowances,t CO2-eq, 740 143.000
10 Aviation,Hungary,2016,1.1 Freely allocated allowances,t CO2-eq, 740 143.000
10 Aviation,Hungary,2015,1.1 Freely allocated allowances,t CO2-eq, 740 143.000
10 Aviation,Hungary,2014,1.1 Freely allocated allowances,t CO2-eq, 740 143.000
10 Aviation,Hungary,2013,1.1 Freely allocated allowances,t CO2-eq, 740 143.000
10 Aviation,Hungary,2012,1.1 Freely allocated allowances,t CO2-eq,1 097 418.000
10 Aviation,Hungary,2021,2. Verified emissions,t CO2-eq,1 228 309.000
10 Aviation,Hungary,2020,2. Verified emissions,t CO2-eq,1 236 739.000
10 Aviation,Hungary,2019,2. Verified emissions,t CO2-eq,2 384 088.000
10 Aviation,Hungary,2018,2. Verified emissions,t CO2-eq,2 329 329.000
10 Aviation,Hungary,2017,2. Verified emissions,t CO2-eq,2 110 107.000
10 Aviation,Hungary,2016,2. Verified emissions,t CO2-eq,1 855 247.000
10 Aviation,Hungary,2015,2. Verified emissions,t CO2-eq,1 558 359.000
10 Aviation,Hungary,2014,2. Verified emissions,t CO2-eq,1 264 980.000
10 Aviation,Hungary,2013,2. Verified emissions,t CO2-eq,1 097 638.000
10 Aviation,Hungary,2012,2. Verified emissions,t CO2-eq,1 158 490.000
10 Aviation,Hungary,2011,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,Hungary,2010,2. Verified emissions,t CO2-eq,  0.000
10 Aviation,Iceland,2021,1.1 Freely allocated allowances,t CO2-eq, 185 691.000
10 Aviation,Iceland,2020,1.1 Freely allocated allowances,t CO2-eq, 211 090.000
